# n_drones, inlet-mean, inlet-std, alpha-mean, alpha-std
8.400000000000000000e+01 1.156659657987751189e+01 1.684839567262794852e-02 -1.275089523234907851e+01 1.353880755905808864e-01
8.500000000000000000e+01 1.137722160395271054e+01 1.699599977580281904e-02 -1.257276860601553103e+01 1.346669301909839689e-01
8.600000000000000000e+01 1.150157512274225979e+01 1.731379226992002182e-02 -1.247401668915277995e+01 1.339516714238691286e-01
8.700000000000000000e+01 1.152732748575574995e+01 1.660036029776808253e-02 -1.241531951397054634e+01 1.339191808276725126e-01
8.800000000000000000e+01 1.150332299635096867e+01 1.655211513001736065e-02 -1.258830714944578943e+01 1.350223160314975024e-01
8.900000000000000000e+01 1.138547187608780398e+01 1.696391773685814591e-02 -1.251098059242595184e+01 1.345150597926992320e-01
9.000000000000000000e+01 1.146285363604783214e+01 1.730997640250917652e-02 -1.235984126287868534e+01 1.344789519397086575e-01
9.100000000000000000e+01 1.148577658757725040e+01 1.726785876623043378e-02 -1.246931460987821261e+01 1.340880720085645683e-01
9.200000000000000000e+01 1.148343126031863015e+01 1.619832820427762402e-02 -1.256435203361465902e+01 1.350223236817586492e-01
9.300000000000000000e+01 1.138477218504850264e+01 1.744529973676597900e-02 -1.228631641533996266e+01 1.340677110873029487e-01
9.400000000000000000e+01 1.154602510784357250e+01 1.671714563066254919e-02 -1.245904451177965555e+01 1.340828710539344049e-01
9.500000000000000000e+01 1.145648088288718114e+01 1.585064184935175771e-02 -1.250906518220934061e+01 1.344754185436528027e-01
9.600000000000000000e+01 1.150152179177467637e+01 1.668289191367549121e-02 -1.263083024553614031e+01 1.341034921510712019e-01
9.700000000000000000e+01 1.153610921413051749e+01 1.684770294222960943e-02 -1.269765413235269591e+01 1.341825505444770306e-01
9.800000000000000000e+01 1.147947700222108480e+01 1.682679557585792934e-02 -1.241602638664824099e+01 1.342665614594328871e-01
9.900000000000000000e+01 1.145936721209921139e+01 1.608156563371388251e-02 -1.249418158584545857e+01 1.349597190537931701e-01
1.000000000000000000e+02 1.129413293364901349e+01 1.622849801835071076e-02 -1.253606622470104703e+01 1.342250398154021807e-01
